JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
newData Scientist: Advanced Analytics,IBM,"Bengaluru, Karnataka+3 locations",Posted3 days ago,2022-02-06,5+ years of data engineering and data science experience.,
Data Science Data Science Practitioner,Accenture,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Project Role Description :Manage, architect and analyze big data in order to build data driven insights and high impact data models.",
Data Scientist,Pioneer Academy,"Ludhiana, Punjab",Posted15 days ago,2022-02-06,Required data science faculty on urgent basis .,"₹1,000 - ₹1,500 a week"
"Intern, Data Science (Autodesk Construction Cloud)",Autodesk,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Collaborate with other data scientists and engineers developing and deploying ML algorithms.,
Data Scientist,Smiths Group jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Understanding of data structures, data modeling and software architecture.",
Machine Learning Scientist,Emtarang techlabs pvt ltd jobs,"Remote in Coimbatore, Tamil Nadu",Posted9 days ago,2022-02-06,"Desirable: Experience with data science toolkits and libraries: Python: Sci-kit learn, NumPy, Pandas,Keras,TensorFlow.","₹40,000 - ₹70,000 a month"
"NLP,Data Scientist at Crux Intelligence",Fractal.ai jobs,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Experience with data structures and algorithms; ability to work in a Unix environment and building robust data processing and analytics pipelines.,
Data & Analytics Developers,Infosys Limited,"Bengaluru, Karnataka",Posted15 days ago,2022-02-06,"Applications,Bachelor Of Engineering,Bachelor Of Comp.",
Senior Analyst / Analyst - Data Scientist - Bengaluru,Deloitte,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,The data scientist will work in close collaboration with the AI SGO team in all the processes necessary in a data science project.,
Revenue Management - Data Scientist,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Posted18 days ago,2022-02-06,"3+ years experience doing quantitative data analysis, ideally in online payments industry.",
Data Scientist,Cerner Corporation,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Propose new uses for existing data sets or sources, algorithms and predictive models.",
Data Scientist,Datagrid Digital Marketing Agency jobs,"Remote in Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Develop custom data models and algorithms to apply to data sets.,
Data Scientist,WHITE FORCE OUTSOURCING SERVICES PRIVATE LIMITED jobs,"Delhi, Delhi",Posted30+ days ago,2022-02-06,"Position - Data Scientist, Experience - 4-8 Years Budget - Good hike in current ctc Notice Period - 30 Days or Less Location - Delhi Must have Skills - Python,…","₹15,00,000 - ₹18,00,000 a year"
newSenior Data Scientist,Spiceworks,+4 locationsTemporarily Remote,Posted2 days ago,2022-02-06,"Work closely with stakeholders on the data supply side (e.g. application engineers) and data demand side (e.g., BI analysts, data scientists, product managers,…",
Data Scientist,Narayana Health,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Develop NLP algorithms to classify and summarize structured/unstructured text data.,
Machine Learning Data Science Practitioner,Accenture,"Pune, Maharashtra+1 location",Posted30+ days ago,2022-02-06,"Project Role Description :Manage, architect and analyze big data in order to build data driven insights and high impact data models.",
DATA SCIENTIST,Mapmygenome jobs,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,At least 1 - 2 years of experience in quantitative analytics or data modelling.,
Machine Learning Engineer,REGex Software Services jobs,Temporarily Remote,Posted16 days ago,2022-02-06,"Required Machine Learning Engineer who is expert in Machine Learning, Tensor Flow, Keras, Neural Networks, CNN, RNN etc.","₹40,000 - ₹1,20,000 a month"
Data Scientist,Applied Materials Inc.,"Bengaluru, Karnataka",Posted18 days ago,2022-02-06,Leverages data-mining techniques to discover insightful and actionable patterns in semiconductor manufacturing data.,
Jr. Data Scientist,KPIT Technologies GmbH,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"Build methodologies and standards to prepare, extract, and analyze different data variety of data sources under the guidance of tech lead.",
Machine Learning Engineer (Data Science),Walmart Global Tech India jobs,"Bengaluru, Karnataka",Posted19 days ago,2022-02-06,O Able to refactor data science code and has collaborated with data scientists in developing ML solutions.,
newProgram Assistant Content – Machine Learning and AI,HIRINGLENS jobs,"Temporarily Remote in Delhi, Delhi",Posted4 days ago,2022-02-06,Looking to hire passionate educators with relevant exposure of 2+ years in academics/teaching/training.,"₹50,000 - ₹75,000 a month"
AVP Data Science,Fortunefootprints.com jobs,"Remote in Delhi, Delhi",Posted16 days ago,2022-02-06,Roll up the sleeves Help solve complex problems using a range of ML and DS algorithms and techniques and leverage petabytes of data in our data lake to help…,"₹6,00,000 - ₹9,00,000 a month"
Data Scientist & Business Development,Gridlogic jobs,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,Proven experience as a data scientist or data analyst.,
newSenior Data Scientist - Advanced Analytics,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",Posted5 days ago,2022-02-06,Experience or knowledge on data science and machine learning is good.,
Data Scientist,Swaty and Sons Private limited jobs,"Remote in Hyderabad, Telangana",Posted30+ days ago,2022-02-06,Data scientist: 2 years (Required).,"₹50,000 - ₹80,000 a month"
Data Scientist,Biz2Credit Inc,"Noida, Uttar Pradesh",Posted30+ days ago,2022-02-06,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…",
Remote Data Scientist,MonetizeMore jobs,Remote,Posted30+ days ago,2022-02-06,Perform exploratory data analysis on auction data to form hypothesis.,
Data Scientist,Biz2Credit Inc,"Noida, Uttar Pradesh",Posted30+ days ago,2022-02-06,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…",
Remote Data Scientist,MonetizeMore jobs,Remote,Posted30+ days ago,2022-02-06,Perform exploratory data analysis on auction data to form hypothesis.,
Data Science,Incedo,"Gurgaon, Haryana",Posted30+ days ago,2022-02-06,Collaborate with data scientists and architects on several projects.,
Senior Analyst - Core RS Data Scientist - Hyd/Blr/Mum/Ggm,Deloitte,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Are you passionate about unlocking value from data?,
newAssociate Data Scientist,Shell,"Chennai, Tamil Nadu+1 location",Posted4 days ago,2022-02-06,Assess data availability and modeling feasibility.,
Machine Learning Engineer,Drishti Works jobs,"Temporarily Remote in Mumbai, Maharashtra",Posted28 days ago,2022-02-06,"- Experience in data management, deploying and managing ML models on cloud platforms like Azure, AWS or GCP.","₹18,000 - ₹40,000 a month"
Lead Data Scientist,Nao jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06, Must have experience leading a team of data scientists.,
Data Scientist,Oportun Inc jobs,Remote in India,Posted8 days ago,2022-02-06,Build data pipelines to prepare data for rapid learning in a scalable manner.,
Associate Professional - Data Scientist / Analytics,Sutherland,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,"Should have hands on experience in one of the programming tools: R, Python (preferably Python).",
Data Scientist (Non-Price Predictive Modeling),Liberty Insurance Pte Ltd jobs,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"Proficient with at least one language for data analysis and modeling, such as R, Python or SAS.",
newDecision Scientist,Fractal.ai jobs,"Mumbai, Maharashtra",Posted1 day ago,2022-02-06,"Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL/ data flow process, data quality, and database management.",
Analyst-Data Science,Accenture,"Mumbai, Maharashtra+1 location",Posted30+ days ago,2022-02-06,"In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…",
Data Scientist,Infognana IG Solution jobs,India,Posted30+ days ago,2022-02-06,"Minimum of 4-6 years of experience related to data collection, preprocessing and analysis role.",
Data Scientist (Organic Growth),Kwalee jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Analyse and manage data from multiple sources.,
AiOps / Machine Learning Lead,"OpsRamp, Inc. jobs","Hyderabad, Telangana",Posted30+ days ago,2022-02-06,"Act as subject matter expert in AI/ML to identify business problems where AI/ML will bring value, or establish scalable, efficient, automated processes for data…",
Data Scientist,ZL Technologies jobs,"Hyderabad, Telangana",Posted25 days ago,2022-02-06,Develop custom data models and algorithms to apply to data sets.,
Portfolio Risk Data Scientist,Deutsche Bank,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Collaborate closely with the infrastructure team to effectively organize our data and build data extraction and analysis pipelines.,
Staff Engineer - Big Data,Seagate Technology,"Pune, Maharashtra",Posted13 days ago,2022-02-06,Solid technical skills with a proven and successful history working with data at scale and empowering organizations through data.,
Senior Data Scientist,Aera Technology,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,Transform business problems into data problems.,
Data Scientist,+2 locations,"Mumbai, Maharashtra+2 locations",Posted16 days ago,2022-02-06,"The senior data scientist will help develop solutions using statistical, data mining methods and data engineering solutions, working closely with our Analytics,…",
Lead Data Scientist,Oracle,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"You are a self critical Lead data scientist who understands the importance of high standards is never satisfied with mediocrity, and constantly striving for…",
newData Science Lead - Markets,Dr.Reddy's,"Hyderabad, Telangana",Posted1 day ago,2022-02-06,Identifies and interprets trends and patterns in complex data sets to enable the business to take data-driven decisions.,
Data Scientist,RedSeer Management Consulting,India,Posted30+ days ago,2022-02-06,"Bachelor’s degree in statistics, data science, mathematics, or equivalent master's degree program with a focus on statistical methods from a premium institute.",
Sr. Data Scientist,Blackhawk Network jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"10+ years of overall professional experience, with 5+ years in data science, doing exploratory data analysis, testing hypotheses, and building prescriptive &…",
Senior Data Scientist,Fundnel Pte Ltd jobs,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"Familiarity with data engineering methodologies, including SQL, ETL and experience in manipulating data sets with structured and unstructured data using Hadoop,…",
"newData Scientist, Customer DNA",Rakuten,"Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Familiarity with using data visualization tools.,
Data Scientist II View Jobs,Swiggy jobs,"Bengaluru, Karnataka",Posted22 days ago,2022-02-06,Experience in mentoring a small team of data scientists preferably in a startup or tech company.,
Deep learning Software Engineer,Intel,"Bengaluru, Karnataka",Posted11 days ago,2022-02-06,"AXG is chartered with delivering high performance computing and graphics solutions (IP, Software, Systems), for both integrated and discrete segments across…",
newSenior Data Scientist,Austin Fraser jobs,Remote,Posted1 day ago,2022-02-06,Reports To: As a Senior Data Scientist you will report to the Head of Data Science.,
"newData Scientist III, Gift Cards",ADCI - Karnataka,"Bengaluru, Karnataka",Posted3 days ago,2022-02-06,You will also work on cross-disciplinary efforts with other scientists within Amazon.,
Senior Data Scientist - Bangalore,SAP,"Bengaluru, Karnataka",Posted13 days ago,2022-02-06,Ability to prepare and organize data for data modeling.,
"Data Scientist II, Amazon Business",Amazon Dev Center India - Hyd,India,Posted30+ days ago,2022-02-06,"Minimum of 3+ years hands-on experience as a Data Scientist performing statistical analysis, data visualization and machine learning on big data.",
Advanced Data Scientist,Honeywell,"Hyderabad, Telangana+1 location",Posted20 days ago,2022-02-06,Should have developed and deployed data engineering modules on data stack.,
Senior Data Scientist,Sai Info Solution jobs,"Nashik, Maharashtra",EmployerActive 9 days ago,2022-02-06,Research and develop statistical learning models for data analysis.,"₹47,072 - ₹1,49,967 a month"
Data Scientist,Klevu Oy jobs,India,Posted15 days ago,2022-02-06,Be the bridge between data engineering and data scientists.,
Data Scientist with Scala Spark Python Pyspark,Acesoft Labs jobs,"Remote in Bengaluru, Karnataka",Posted25 days ago,2022-02-06,"Own data tables, and work with stakeholders to ensure available data is accurate, consistent, and timely.",
Lead Data Scientist,Tekion jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"5+ years of hands-on experience with analytics, data science and big data experience in a business context.",
Data Science | 4 to 6 years | Bengaluru & Mumbai,Capgemini,"Bengaluru, Karnataka",Posted10 days ago,2022-02-06,"Understanding on Machine Learning technics, Neural Network, Linear regression, sentiment analysis, Clustering, anomaly detection.",
Operational Data Scientist,Sofar Ocean jobs,"San, Himachal Pradesh",Posted30+ days ago,2022-02-06,Hands on experience building data-science pipelines or experience building production data-science models.,
Revenue Managment - Data Scientist,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted18 days ago,2022-02-06,"3+ years experience doing quantitative data analysis, ideally in online payments industry.",
Data Scientist,Qualfon jobs,India,Posted29 days ago,2022-02-06,"Strong data storytelling ability – ability to produce actionable information/insights, not just data computation.",
Lead Data Scientist,Société Générale,"Bengaluru, Karnataka",Posted24 days ago,2022-02-06,Guide a team of data analysts and scientists.,
Senior Data Scientist | PUNE|,Shoolin Services Group jobs,"Temporarily Remote in Pune, Maharashtra",EmployerActive 2 days ago,2022-02-06,Senior data scientist : 15+ years’ experience.,"₹10,00,000 - ₹50,00,000 a year"
Data Scientist,Niramai jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"If you have good problem solving skills, a passion for machine learning research and creating social impact, this is the right place for you.",
Data Scientist - Bangalore,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted26 days ago,2022-02-06,"Analyze data, identify patterns, visualize outcome while working iteratively with business.",
Data Scientist II,RealPage,"Hyderabad, Telangana",Posted11 days ago,2022-02-06,Work with data engineers and data analysts tobuild data environments.,
Data Scientist,Tredence,"Gurgaon, Haryana+2 locations",Posted30+ days ago,2022-02-06,"Have the ability to handle structured /unstructured data and have prior experience in loading, validating and cleaning various types of data.",
Cloud Solution Architect - Data & Analytics,Microsoft,"Mumbai, Maharashtra",Posted9 days ago,2022-02-06,"Understand customers’ overall data estate, IT and business priorities and success measures to design implementation architectures and solutions.",
newMachine Learning Engineer,Samyak Infotech,"Ahmedabad, Gujarat",Posted5 days ago,2022-02-06,"Work closely with data scientists/analyst to collaborate and support the development of ML data pipelines, platforms and infrastructure.",
Data Scientist,IHS Markit,"Gurgaon, Haryana+1 location",Posted30+ days ago,2022-02-06,3+ years’ experience as a data scientist.,
Analyst - Data Scientist (Brand Analytics),AstraZeneca,"Chennai, Tamil Nadu",Posted30+ days ago,2022-02-06,Experience with IQVIA data sets.,
Data Scientist,WishFin,"Noida, Uttar Pradesh",Posted30+ days ago,2022-02-06,Defines the data requirements of the analytic solution.,
Staff Data Scientist,Walmart Global Tech India jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,The staff data scientist of ad targeting will be technically leading a team of data scientists and machine learning engineers to build the next generation ad…,
Associate Professional - Data Scientist / Analytics,Sutherland,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,"Should have hands on experience in one of the programming tools: R, Python (preferably Python).",
Data Scientist - Digital Customer Experience,Hewlett Packard Enterprise,"Bengaluru, Karnataka",Posted26 days ago,2022-02-06,HPE Pointnext “Digital Customer Experience” program is currently seeking highly qualified and motivated data evangelist candidates for a role as a data…,
Data Scientist,Bharat Light & Power jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Experience with data analysis/Modelling.,
Data And Analytics - CRL 2.0 Data Science,EY,"Kolkata, West Bengal+1 location",Posted24 days ago,2022-02-06,3-5 years of experience.,
Data Scientist III,InMobi,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Comfortable with the big data ecosystem.,
Data Scientist - 13779279,Helius Technologies jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,3+ experience as data scientist working on various data science projects.,
newPrincipal Data Scientist – Optimization,GE Digital,"Bengaluru, Karnataka",PostedToday,2022-02-06,"As a Principal Data Scientist, you will guide, lead, or otherwise contribute to data science or cross-disciplinary team on commercially facing development…",
Artificial Intelligence / Machine Learning Specialist,Digital Horizons Technology & Media Services Private Limited jobs,"Remote in Bengaluru, Karnataka",EmployerActive 3 days ago,2022-02-06,The candidate is required to develop programs that solve client issues and enhance AEE their work easier.,"₹4,51,419 - ₹15,81,947 a year"
Data Scientist,Intel,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Develop software, algorithms and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data…",
Sr. Data Scientist,SoulPage IT Solutions jobs,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,Manage relationship with business stakeholders acting as embedded data scientist constantly thinking about data science solutions to make business better.,
Data Scientist,Pivotchain Solution Technologies jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"You are comfortable processing, cleansing, and verifying the integrity of data used for analysis.",
Manager Data Analytics or Data Scientist,Thomson Reuters,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Lead investigator for a new category of model, line of inquiry or data-science technology paradigm.",
CCB-Data and Analytics-Executive Director,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted9 days ago,2022-02-06,"You will need to have a deep, tactical understanding of quantitative analytics, data visualization and data science.",
Machine Learning,Cybage,Remote,Posted30+ days ago,2022-02-06,"Experience in Machine Learning technique such as Logistic Regression, Random Forest, XgBoost, SVM etc.",
Data Science Data Science Practitioner,Accenture,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Project Role Description :Manage, architect and analyze big data in order to build data driven insights and high impact data models.",
Data & Applied Scientist II,Microsoft,"Hyderabad, Telangana+1 location",Posted25 days ago,2022-02-06,You will work closely with other data scientists and data engineers to deploy models that drive cloud infrastructure capacity planning.,
Backend SDE II (Data Science),sharechat,"Bengaluru, Karnataka",EmployerActive 3 days ago,2022-02-06,The work will entail developing scalable data.,
Senior Data Scientist,Myntra.com,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Evidence of solving and deploying solutions for data science problems in industry.,
Senio Executive - Data Scientist,NielsenIQ,"Bengaluru, Karnataka+1 location",Posted30+ days ago,2022-02-06,"Problem scoping, data gathering, EDA, modelling, insights, visualizations, monitoring the field data.",
D&AT IFS - Senior Associate - Finance Data Scientist,PwC,"Bengaluru, Karnataka",Posted17 days ago,2022-02-06,"Our Analytics Insights team is responsible for serving as a strategic business partner for an assigned customer to identify and pursue new opportunities,…",
"CRL2.0 EY GDS - IA- Data Scientist (Python, AI / ML / NLP)",EY,"Bengaluru, Karnataka",Posted24 days ago,2022-02-06,":Work for managing the successful design, execution, and measurement of data initiatives across customer-facing engagements requiring advanced automation…",
Data Scientist,Agnik jobs,India,Posted30+ days ago,2022-02-06,AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.,
Developer-Data Scientist,CGI Inc,"Bengaluru, Karnataka",Posted25 days ago,2022-02-06,Your ability to interact with people/teams and build strong collaborative working relationships with teams and colleagues will be second to none.,
Operational Data Scientist,Sofar Ocean jobs,"San, Himachal Pradesh",Posted30+ days ago,2022-02-06,Hands on experience building data-science pipelines or experience building production data-science models.,
Data Science Full Time Trainer,Indian Institute of Digital Education jobs,India,Posted30+ days ago,2022-02-06,"A Ph.D. or a First Class Master’s Degree in the appropriate branch of Engg., & Tech., and experience of minimum 4 years in teaching at a reputed institute.",
Data Scientist,Aruba Networks,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Demonstrated knowledge of research methodology and the ability to manage complex data requests.,
Data Scientist,Qualfon jobs,India,Posted29 days ago,2022-02-06,"Strong data storytelling ability – ability to produce actionable information/insights, not just data computation.",
Data Science,ZunRoof Tech,"Gurgaon, Haryana",Posted25 days ago,2022-02-06,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,
Data Scientist,People Interactive Pvt Ltd.,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"We deal with all kinds of structured/unstructured (image, text, etc) data and build data-driven solutions to solve customer problems.",
Data Scientist,KPIT Technologies GmbH,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,Draw relevant inferences and insights from data including identification of trends and anomalies.,
Machine Learning Engineer,Mystro jobs,"Remote in Marol, Mumbai, Maharashtra",EmployerActive 2 days ago,2022-02-06,"The company provides digital loans, financial planning and credit solutions among others to customers through Mobile app based platforms.","₹5,00,000 a year"
"Senior Analyst- APLD, Data Science",Novartis,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,"Assist team supervisor for development of new algorithms, methods, statistical models and business models and providing insight into structured and unstructured…",
Data Scientist,Soroco,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,The ideal Data scientist will be able to solve complex unstructured problems using data-driven analysis and have a deep commitment to increase Soroco's revenue.,
Data Science Trainer,MARSIAN Technologies (marsiantech.com) jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,Looking for full time & part time Data Science/Machine Learning Trainers to teach in classroom(offline) in our Pimple Saudagar branch in Pune.,"₹600 - ₹1,000 an hour"
Associate Data Scientist,Airtel India,"Bellandur, Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Incident management & Change management of around 400 NMS/EMS instances.,
Data Scientist,VM3 Tech Solutions jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"Conceptualize and develop machine learning (ML), data mining, and statistical techniques and algorithms to create new scalable SCP solutions for business…",
"newSenior-Data Scientist (Principal, Applied Math & Stats)",AT&T,"Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Perform data studies and data discovery around new data sources or new uses for existing data sources.,
Sr. Data Scientist - Finance,Aditya Birla Group,Karnataka,Posted9 days ago,2022-02-06,"To query data, manipulate data and draw insights from large data sets.",
Revenue Managment - Data Scientist,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted18 days ago,2022-02-06,"3+ years experience doing quantitative data analysis, ideally in online payments industry.",
newData Scientist,Mount Talent Consulting,"Hyderabad, Telangana+1 location",Posted3 days ago,2022-02-06,"Experience in Hands-on data mining and predictive modelling experience (clustering / classification using decision trees, linear/logistic regression, etc.).",
Lead Data Scientist,Honeywell,"Bengaluru, Karnataka",Posted17 days ago,2022-02-06,"Business functional process and data experience including SAP, SFDC data sets and processes.",
Content Strategist - Data Science,Testbook,"Navi Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Responsible to create questions with solutions of different given topics.,
Data Scientist - Innovations,Merkle jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,1+ years core data science/analytics experience.,
newManager - Data Scientist,Genpact,"Bengaluru, Karnataka+2 locations",Posted1 day ago,2022-02-06,"To deal with huge data, have good understanding on data science and have worked on relational databases.",
newData Scientist,Beinex jobs,"Kochi, Kerala",Posted1 day ago,2022-02-06,Present information using data visualization techniques.,
Data Scientist / Analyst,Adoro jobs,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"Basic understanding of statistic and Experience manipulating large data sets through statistical software(ex R, Matlab etc).",
Data Scientist | Academic Operations/Chennai/Hyderabad-EdTec...,Unihyr jobs,"Chennai, Tamil Nadu",Posted30+ days ago,2022-02-06,"Accordingly, create capstone projects on the evolving use cases in the industry Identify key emerging trends in the industry and maintain a rich reference…","₹9,00,000 - ₹13,00,000 a year"
newAI/ML - 29981,Quinnox Consultancy Services Limited,"Bengaluru, Karnataka",Posted7 days ago,2022-02-06,"If you also have knowledge of data science and software engineering, we'd like to meet you.",
Data Scientist- BI,Medline Industries,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"Extract data from multiple data sources like Microsoft SQL Server, Oracle, Azure Blob and Azure SQL using SQL or Python.",
Senior Data Scientist - Bangalore,SAP,"Bengaluru, Karnataka",Posted13 days ago,2022-02-06,Ability to prepare and organize data for data modeling.,
Data Scientist,Paktolus jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Should have experience in building & designing data warehouses.,
newMachine Learning Developer,Irish Taylor & Co jobs,"Mumbai, Maharashtra",Posted4 days ago,2022-02-06,Extensive data modeling and data architecture skills.,"₹5,80,048 - ₹19,28,640 a year"
Lead Data Scientist,Cyient,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,The data scientist collaborates with business partners to define the technical problem statement and hypothesis to test; develops efficient and accurate…,
Data Scientist,Dun & Bradstreet,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Develop custom data models and algorithms to apply to data sets.,
Data Science - Senior Data Scientist,Paytm,"Delhi, Delhi",Posted9 days ago,2022-02-06,Present information using data visualization techniques.,
Data Scientist,NTT DATA,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Minimum Educational Qualification: Bachelor's Degree in Engineering or Computer Science or Master's in Math, Statistics.",
newSenior Data Scientist,Centrient Pharmaceuticals Netherlands jobs,"Gurgaon, Haryana",Posted3 days ago,2022-02-06,Data scientists work alongside data engineers to gain access to data; they use this data to feed into sophisticated advanced analytics and/or machine learning…,
Senior Data Scientist I,Delhivery,"Remote in Gurgaon, Haryana",Posted30+ days ago,2022-02-06,The Data Science - Optimization Team at Delhivery deals with optimization problems that arise in.,
newHead of Insights and Data,The Luxury Closet jobs,"Gurgaon, Haryana",Posted2 days ago,2022-02-06,Work closely with senior data analytics management in establishing departmental goals and strategies and with junior data scientist and data warehouse personnel…,
newQuant Analytics Associate Card Analytics,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Ability to synthesize large volumes of data into meaningful insights and drive actionable strategies in card services.,
Data Scientist - AI Developer,SAP,"Bengaluru, Karnataka",Posted24 days ago,2022-02-06,"A solid foundation in computer science, with strong competencies in algorithms, data structures, objects oriented programming, design patterns, multi-threaded…",
Data Scientist,Sage IT India jobs,India,Posted30+ days ago,2022-02-06,Experience with accessing and organizing data drawn from relational and non-relational data stores.,
Senior Associate - Data Scientist,Affine jobs,"Hyderabad, Telangana",Posted15 days ago,2022-02-06,Substantial hands-on experience with data handling.,
Data Scientist,GD Research Center,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,"Use best software, tools and techniques for data mining: With deep knowledge and experience in SQL, Python, R or any other data analysis tools, should be able…",
Data Science Engineer,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Class of any domain specific data!,
Data Scientist,S&P Global,"Ahmedabad, Gujarat+2 locations",Posted16 days ago,2022-02-06,"The Team : As a part of data enrichment team, you will perform data related activities such as data clean-up, data analysis, data mining and data wrangling.",
newSenior Data Science with Python Programming,Annexacc Software Solutions jobs,"Pune, Maharashtra",EmployerActive 2 days ago,2022-02-06,Overall 10+ years of experience.,"₹32,702 - ₹1,17,871 a month"
Data Scientist,S&P Global,"Ahmedabad, Gujarat+2 locations",Posted16 days ago,2022-02-06,"The Team : As a part of data enrichment team, you will perform data related activities such as data clean-up, data analysis, data mining and data wrangling.",
newSenior Data Science with Python Programming,Annexacc Software Solutions jobs,"Pune, Maharashtra",EmployerActive 2 days ago,2022-02-06,Overall 10+ years of experience.,"₹32,702 - ₹1,17,871 a month"
Data scientist,Money View,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Excellent knowledge of SQL, Data Modelling (Clustering, Regression).",
Data Scientist - Customer Growth Advisory,MoEngage Inc jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Must have 2+ years experience in data science and analytics execution.,
Data Scientist,Great Learning,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Automation of manual data collection, data cleansing and exploratory data analysis.",
Data Science Professional_Eco,IBM,"Ahmedabad, Gujarat",Posted30+ days ago,2022-02-06,"Working with product architect to build cross product and innovative data solutions using products like Maximo , Supply chain Intelligence suite.",
Data Scientist,Odessa jobs,"Temporarily Remote in Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"As a data scientist, you will be responsible for developing features that rely on insights garnered by analyzing information and transactional data in the…",
Data Analytics & Visualization,PipeCandy jobs,"Remote in Chennai, Tamil Nadu",Posted30+ days ago,2022-02-06,"Strong knowledge and experience with data analysis, data wrangling, and data transformations on large datasets.",
Data Scientist,kdata science pvt. ltd jobs,"Gurgaon, Haryana",EmployerActive 6 days ago,2022-02-06,"*Programming Language*: Excellent in Python development for API integrations to import data from different sources, data transformation and data scraping from…",
Data Scientist,Global Industrial jobs,"Mumbai, Maharashtra",Posted27 days ago,2022-02-06,Develop custom data models and algorithms to apply to data sets.,
